12.5224	11.8899	16.0180	13.2558	18.3576	10.7025	19.2088	18.4150
13.4560	16.1275	22.7373	21.7378	36.1106	7.9767	21.4934	23.1997
21.7737	21.0417	24.0954	28.3072	20.1837	9.4201	13.4580	23.5676
19.5085	18.1129	23.6774	20.5834	26.5404	14.9701	28.8501	28.4296
18.3228	23.3570	26.5791	13.0767	15.5704	34.7901	23.3022	18.9612
48.7115	61.0829	56.1774	67.0348	55.9656	30.2095	44.9638	59.1317
10.9336	10.4606	17.5486	10.3432	21.3676	10.0928	17.2319	14.2466
39.9143	41.0932	81.7881	39.7994	43.6936	38.8351	44.5172	40.8539
27.1301	33.4627	32.3944	39.3601	31.4821	14.9507	21.6370	32.1676
12.9229	3.6502	10.5776	3.8453	6.8092	5.8463	17.3250	7.1376
27.0062	26.1434	73.5180	31.0440	36.7609	21.5654	28.4829	30.4050
10.0327	9.4449	15.5010	7.0580	10.8903	19.1063	13.7090	11.2588
22.1229	27.0645	21.1883	13.8653	13.8386	14.9980	17.8402	17.8251
15.6731	20.9756	16.7232	14.7818	13.6243	6.4867	12.3175	13.9452
12.1705	10.2016	16.2343	13.0551	19.4301	10.4293	22.2266	18.9231
19.6467	23.0064	23.6413	23.9323	23.5944	12.7291	21.3428	24.4231
21.4216	31.7970	37.4143	21.8167	22.2278	50.2205	30.2087	26.1307
9.4669	9.2559	11.7864	10.6378	13.6373	7.2041	14.4860	13.6695
29.5398	37.9992	43.7754	21.0392	25.2922	59.7419	38.4103	30.9489
23.6103	27.1871	38.6683	35.1103	56.0698	16.7282	36.3728	39.5250
44.8633	66.4505	47.8408	45.9756	39.4035	33.1058	38.1893	44.0728
25.3793	28.3467	33.2214	13.1899	18.2089	43.0932	29.2067	23.2896
31.4390	24.1813	39.2853	29.5062	45.0978	25.1044	55.8257	42.4571
23.0915	18.7824	27.5419	19.1848	28.2327	18.7546	38.2308	27.1331
39.1505	24.4441	46.2171	23.0350	36.5225	24.1894	52.5453	32.3779
33.1805	27.9886	41.3541	30.2384	42.7145	24.7644	52.6643	40.9501
