0.1873	-1.1369	-0.9913	-1.0714	-1.1887	3.4979	0.7031
-1.4730	-0.3739	4.8592	0.1594	-0.4059	-1.8345	-0.9313
4.6666	1.4022	-1.3300	-0.0212	-2.2035	-0.5368	-1.9772
-0.4830	4.3042	-0.8852	-0.5961	-0.6839	-1.5249	-0.1311
-1.6288	0.4749	3.8974	-0.1214	-0.3696	-1.5274	-0.7250
4.2455	-1.2973	-0.5251	-0.5796	0.1411	-0.3869	-1.5977
3.1892	-1.1012	-0.5696	0.0985	-0.9262	-0.2365	-0.4541
-0.7682	0.2634	-0.7226	-0.9984	0.5325	-0.9793	2.6728
-0.8391	-0.4070	-0.9692	-1.7168	0.9948	-1.2729	4.2104
0.0327	-1.1562	-0.7210	-0.3053	-1.4496	3.9619	-0.3625
-0.1225	-1.8389	-0.7869	-0.0137	-0.7977	2.9695	0.5903
1.6289	-2.2576	-1.0216	-1.7994	-2.7521	1.8746	4.3274
0.3320	-0.9161	-0.4975	0.3565	-1.0822	0.6186	1.1887
-0.8524	-3.0488	-0.2406	-0.1870	-1.5345	-0.6319	6.4956
-0.2518	-1.8181	-1.1017	0.0139	-1.4568	3.4815	1.1331
5.0446	-1.7685	-1.2039	0.1297	-1.7761	-0.1919	-0.2338
1.3765	-1.5882	-0.8314	0.1510	-0.8862	0.3497	1.4287
-1.0106	3.7660	0.7968	0.2569	0.1929	-2.0603	-1.9415
3.6936	0.8824	-1.1926	-0.8443	-0.5915	-1.2129	-0.7348
-0.0740	-1.6474	0.5023	-1.0577	-0.5716	-0.2420	3.0907
-0.7488	2.4473	-0.8893	-1.2529	1.6311	-1.2095	0.0222
-0.3220	-0.8703	-0.4042	-0.2552	-0.2262	-0.7203	2.7984
-0.3276	-0.8768	-0.0020	-0.2924	-0.0363	-0.5671	2.1023
-0.3625	0.2823	2.8725	-0.2796	0.1866	-1.1509	-1.5482
-0.3091	0.2113	2.9126	-0.2460	0.1687	-1.1433	-1.5940
-0.3644	-0.5414	1.9871	-0.3935	1.3453	-1.3032	-0.7298
-0.7526	3.0635	-0.6389	-1.4435	1.5623	-1.4007	-0.3901
-0.7856	2.4242	-1.1428	-1.4975	1.8920	-1.0787	0.1885
-0.0158	-0.0081	3.6888	-1.1431	0.4600	-2.3484	-0.6334
0.4529	-0.1676	0.0273	-1.6992	0.9860	-0.2232	0.6238
-0.8768	1.9971	-0.3294	-1.2238	2.7447	-1.7419	-0.5698
-0.7898	6.0236	-0.5927	-1.7041	-1.0896	-0.7938	-1.0535
5.4362	-0.7382	-0.9815	-0.1009	-1.2717	-1.5157	-0.8282
5.4006	-0.7865	-0.9091	-0.4259	-1.0136	-1.3089	-0.9566
