21.2702	23.2482	19.5302	22.7903	24.9332	20.0315	20.9568	20.0883	21.4486	19.8274
74.1763	73.3829	67.4463	80.0678	86.4647	63.1780	68.1629	62.8231	68.2701	62.9002
49.7708	48.4133	40.2731	49.0559	48.9586	41.3051	54.4483	42.6380	53.7908	44.7551
113.9922	125.3632	108.6637	114.3585	118.0517	90.0859	111.5629	113.6141	113.0995	101.9653
26.6589	26.5046	22.2064	25.9875	26.5226	22.6561	31.1696	26.0645	30.7780	26.0368
92.4946	102.8823	79.2042	87.7689	89.6038	77.3288	101.6420	93.8395	100.9044	89.7761
31.4713	36.4857	27.5551	31.7970	33.1914	29.8507	32.0240	32.8022	34.8279	31.2790
57.9080	60.0352	50.2698	58.1978	62.0041	45.9866	58.0621	49.1309	58.5338	50.1462
21.2816	26.6705	17.9177	20.1375	22.3486	15.5375	18.9936	16.9674	20.1978	17.5581
38.9842	44.3933	37.3675	38.9602	39.3178	33.3295	39.2587	41.3010	39.5251	36.4306
52.6044	50.7203	47.4574	54.5691	59.3025	42.3482	46.9655	42.9529	47.2426	43.0623
76.6029	76.1707	70.1324	80.2580	87.4823	62.0265	70.2328	65.7493	70.2605	64.1192
29.3295	29.2640	26.7135	31.2009	33.7076	24.2089	27.0811	24.6107	27.2681	24.3441
40.0084	41.6204	29.5386	42.6404	45.3213	37.7325	43.9462	37.2046	45.1301	40.3657
85.3961	114.7714	80.8542	87.8959	91.1182	77.3202	88.8973	89.9236	92.4465	84.5130
118.1696	117.6300	104.3459	118.1836	126.2909	88.2598	106.8986	99.2682	110.7672	100.7829
48.1524	46.6587	37.4731	46.1792	46.9151	39.5455	57.6847	43.5326	55.8570	44.8344
23.4424	23.9016	21.5568	24.0046	26.5988	18.0230	21.1501	19.9101	21.4890	19.2346
35.1199	35.2299	28.0230	36.3648	35.7324	32.5384	44.5533	35.9075	44.4510	36.7678
27.3109	30.6971	27.2395	30.4686	27.8458	27.1677	26.9998	28.2681	29.2930	34.9153
40.4061	39.8962	37.0986	43.4185	46.2183	33.9416	36.9054	34.3420	37.0979	34.2926
65.1928	54.2229	74.4405	59.2999	53.0766	48.4038	48.4470	59.5280	50.1804	49.8259
28.6251	32.4719	24.1068	28.6496	32.2420	20.5023	27.9802	23.9329	30.2075	24.8936
32.9872	34.0599	28.3836	31.7614	31.9283	25.9134	35.0077	31.0109	38.0534	32.6443
44.7246	37.9313	40.3420	43.1642	39.4212	33.6554	36.8423	37.5594	37.9043	36.2758
14.3679	16.3226	13.6046	13.9554	18.2896	8.6181	12.8492	12.7931	12.5170	9.4465
126.3671	130.7025	106.9473	125.9310	126.5063	108.3748	148.3996	128.7735	145.5483	123.8119
101.1516	87.8416	109.6812	92.1221	84.3854	76.5559	80.4356	96.5300	82.7621	81.6310
21.2781	26.5153	18.1182	20.4999	22.9660	15.3063	18.6871	16.6113	19.9210	17.3404
76.7316	76.0544	69.4148	79.3965	87.2036	60.5935	67.5886	62.0622	69.0383	63.0507
79.4205	75.9277	72.0212	87.9334	78.6191	70.8530	76.7431	73.8723	78.5371	76.7705
