0.3622	1.2753	0.0491	-1.0869	-2.5254	-2.0194
0.6545	-1.6623	-0.7664	-1.1090	0.9843	1.4633
0.8895	-4.7233	-1.7228	-1.6669	6.5795	-2.2492
0.9298	-4.0976	-1.0838	-1.2369	5.0349	-1.7046
0.3465	-5.0499	3.8810	-1.7215	0.4222	-1.6714
0.6935	-1.9847	-1.8049	-2.1877	-0.1948	4.2090
-0.9702	-1.9854	4.2071	-1.0269	-0.2525	-2.4820
-0.9990	-2.7970	0.9188	-2.1504	0.5797	1.4448
0.1842	-2.6215	-0.5347	-1.1339	1.0126	0.8002
-0.5716	-0.1831	-1.9215	2.4235	-0.1351	-1.7334
2.2553	-0.1813	1.6589	-0.8270	-2.0521	-0.9531
-1.8281	-2.1077	0.2289	-2.5115	-0.5477	3.0811
1.0363	0.1897	-0.5243	-0.5001	-1.3763	0.0027
0.5048	-3.4726	-1.2662	-1.4883	1.0156	2.4151
4.3742	0.9090	-4.6009	-0.1845	-3.8034	0.9764
-0.3481	0.8590	3.9392	-0.9799	-2.5176	-1.6670
-0.5114	3.0887	-2.3204	0.1649	-1.4971	-1.4922
-1.2789	-3.1393	1.4371	-1.4024	1.7854	0.0099
-0.7892	-1.5379	-1.0733	-1.7891	1.6177	2.8875
2.5291	0.3636	2.2687	-1.8613	-2.6940	-1.7943
0.4703	-0.5796	-1.4439	-1.7339	0.6711	2.3393
-2.2323	-3.8914	3.9627	-2.0270	-0.1035	-0.6967
1.2572	-0.3950	-0.6040	-1.4610	-0.6646	1.2245
-1.8327	-1.4861	0.0910	3.3795	-0.2036	-2.0569
-1.4104	1.6858	-1.1678	3.4756	-3.4499	-2.8165
-3.1927	-3.0103	0.1974	-2.0196	5.1396	-0.3378
-1.4049	-0.7659	1.3990	-2.9268	-0.1271	1.7573
-0.3612	4.6908	-1.3122	-0.1746	-2.5938	-2.0544
-1.1128	-1.6606	4.0829	-1.7261	-1.8756	-1.1318
-0.7343	-2.7938	-0.0542	-2.8630	1.2480	3.4503
-0.8895	-2.3241	6.3725	-1.3635	-2.6666	-0.7975
0.3051	-2.4973	-2.6956	-0.9035	1.8598	2.8684
-0.1030	-1.1859	4.1530	-1.4361	-1.9207	-1.9112
-1.1632	-1.6362	3.5295	-1.1521	0.0110	-1.9643
-0.9686	-2.3416	-1.3117	-1.2576	3.7524	0.3764
-0.9090	-1.6685	3.6447	-1.7038	-1.6985	-0.8260
