-2.5958	5.2036	-3.1605
-7.0644	9.9749	-5.0956
1.2108	-0.8603	0.0844
0.3166	-7.8011	12.1218
3.1493	-2.5579	0.1079
-4.1647	-2.8632	8.9667
3.3994	-8.5618	8.2058
-4.3926	5.5088	-2.3399
-0.2676	-6.3430	9.8316
-6.2613	9.7695	-5.8891
-6.7437	6.1730	-1.5552
-3.1228	-4.1998	9.5034
-2.4191	-2.4736	6.5635
1.4828	-9.0517	12.1236
4.6760	-9.9590	8.1145
-0.3369	3.8140	-4.0617
-1.3826	0.8789	0.7908
-6.8657	7.8772	-3.5216
-0.6098	0.6013	0.6087
0.5495	-6.6789	9.7366
-3.4521	-3.2298	9.3233
-0.5151	2.7718	-2.6473
1.4238	-6.9123	8.7857
-2.5237	-1.1836	5.0832
0.5801	-6.8751	9.9673
-2.9600	5.0620	-3.4547
-1.3280	-1.2334	3.9538
-1.1954	-0.9264	2.3405
-1.4278	-5.2932	8.5048
-4.3378	8.1602	-5.4359
-5.2136	7.2706	-3.8442
-5.6378	10.7972	-7.4371
-8.8626	9.3213	-2.7363
1.0965	-0.9757	0.5655
6.7523	-5.4147	-0.6461
0.3171	-1.1307	1.6772
-5.1783	1.8385	2.1837
-4.3580	4.8187	-1.7881
3.0138	-0.8159	-2.1496
4.2858	-11.0539	10.1440
2.1404	-0.0360	-2.0708
-3.5565	5.0796	-2.4756
4.2924	-4.9907	1.2071
-3.5593	6.4575	-4.0946
-5.7064	6.7328	-3.3622
-2.7634	4.6999	-3.3016
-1.8852	5.0500	-3.6523
3.0965	-2.6748	-0.2104
6.5893	-11.2717	7.7399
6.5684	-5.5211	-0.8465
7.9192	-9.3225	1.4740
5.3176	-5.6443	0.9003
-1.3571	5.3750	-4.9217
1.6714	-1.3271	0.1903
3.8438	-4.5536	0.6399
7.2749	-5.8617	-1.3226
4.6998	-4.1886	-0.1288
5.3912	-3.9251	-0.7918
4.6671	-3.0796	-1.0930
1.5162	0.5209	-1.8104
-1.2374	-4.5960	8.5425
-3.7955	-2.3430	7.1576
-6.1217	5.5667	-1.2010
2.8207	-3.9410	1.7484
-1.8207	4.2809	-2.3919
-7.0556	9.8972	-5.3101
-3.6346	-4.1505	10.1815
-5.7753	7.1289	-2.9029
1.8634	-0.3403	-1.5997
-0.4051	-0.2388	1.4746
4.3995	-3.8157	0.0108
-1.3067	-3.4969	6.7827
5.3029	-5.1560	0.3020
-2.2080	-4.6708	9.7129
